GEO.id,GEO.id2,GEO.display-label,POPGROUP.id,POPGROUP.display-label,EST_VC03,MOE_VC03,EST_VC04,MOE_VC04,EST_VC05,MOE_VC05,EST_VC06,MOE_VC06,EST_VC07,MOE_VC07,EST_VC11,MOE_VC11,EST_VC12,MOE_VC12,EST_VC13,MOE_VC13,EST_VC16,MOE_VC16,EST_VC17,MOE_VC17,EST_VC18,MOE_VC18,EST_VC19,MOE_VC19,EST_VC20,MOE_VC20,EST_VC21,MOE_VC21,EST_VC22,MOE_VC22,EST_VC23,MOE_VC23,EST_VC24,MOE_VC24,EST_VC27,MOE_VC27,EST_VC30,MOE_VC30,EST_VC31,MOE_VC31,EST_VC32,MOE_VC32,EST_VC33,MOE_VC33,EST_VC36,MOE_VC36,EST_VC37,MOE_VC37,EST_VC38,MOE_VC38,EST_VC41,MOE_VC41,EST_VC42,MOE_VC42,EST_VC43,MOE_VC43,EST_VC46,MOE_VC46,EST_VC47,MOE_VC47,EST_VC48,MOE_VC48,EST_VC51,MOE_VC51,EST_VC52,MOE_VC52,EST_VC53,MOE_VC53,EST_VC56,MOE_VC56,EST_VC57,MOE_VC57,EST_VC58,MOE_VC58,EST_VC62,MOE_VC62,EST_VC63,MOE_VC63,EST_VC64,MOE_VC64,EST_VC65,MOE_VC65,EST_VC66,MOE_VC66,EST_VC67,MOE_VC67,EST_VC71,MOE_VC71,EST_VC72,MOE_VC72,EST_VC73,MOE_VC73,EST_VC74,MOE_VC74,EST_VC75,MOE_VC75,EST_VC76,MOE_VC76,EST_VC77,MOE_VC77,EST_VC78,MOE_VC78,EST_VC79,MOE_VC79,EST_VC80,MOE_VC80,EST_VC81,MOE_VC81,EST_VC82,MOE_VC82,EST_VC83,MOE_VC83,EST_VC84,MOE_VC84,EST_VC87,MOE_VC87,EST_VC88,MOE_VC88,EST_VC92,MOE_VC92,EST_VC93,MOE_VC93,EST_VC94,MOE_VC94,EST_VC95,MOE_VC95,EST_VC96,MOE_VC96,EST_VC97,MOE_VC97,EST_VC100,MOE_VC100,EST_VC101,MOE_VC101,EST_VC102,MOE_VC102,EST_VC103,MOE_VC103,EST_VC104,MOE_VC104,EST_VC105,MOE_VC105,EST_VC108,MOE_VC108,EST_VC109,MOE_VC109,EST_VC110,MOE_VC110,EST_VC111,MOE_VC111,EST_VC112,MOE_VC112,EST_VC113,MOE_VC113,EST_VC117,MOE_VC117,EST_VC118,MOE_VC118,EST_VC119,MOE_VC119,EST_VC120,MOE_VC120,EST_VC121,MOE_VC121,EST_VC122,MOE_VC122,EST_VC125,MOE_VC125,EST_VC126,MOE_VC126,EST_VC127,MOE_VC127,EST_VC128,MOE_VC128,EST_VC129,MOE_VC129,EST_VC130,MOE_VC130,EST_VC134,MOE_VC134,EST_VC135,MOE_VC135,EST_VC136,MOE_VC136,EST_VC137,MOE_VC137,EST_VC138,MOE_VC138,EST_VC139,MOE_VC139,EST_VC142,MOE_VC142,EST_VC143,MOE_VC143,EST_VC144,MOE_VC144,EST_VC145,MOE_VC145,EST_VC146,MOE_VC146,EST_VC147,MOE_VC147,EST_VC151,MOE_VC151,EST_VC152,MOE_VC152,EST_VC153,MOE_VC153,EST_VC154,MOE_VC154,EST_VC158,MOE_VC158,EST_VC159,MOE_VC159,EST_VC160,MOE_VC160,EST_VC164,MOE_VC164,EST_VC165,MOE_VC165,EST_VC169,MOE_VC169,EST_VC170,MOE_VC170,EST_VC173,MOE_VC173,EST_VC174,MOE_VC174,EST_VC177,MOE_VC177,EST_VC178,MOE_VC178,EST_VC181,MOE_VC181,EST_VC182,MOE_VC182,EST_VC186,MOE_VC186,EST_VC187,MOE_VC187,EST_VC188,MOE_VC188,EST_VC189,MOE_VC189,EST_VC190,MOE_VC190,EST_VC191,MOE_VC191,EST_VC192,MOE_VC192,EST_VC193,MOE_VC193,EST_VC197,MOE_VC197,EST_VC198,MOE_VC198,EST_VC199,MOE_VC199,EST_VC201,MOE_VC201,EST_VC202,MOE_VC202,EST_VC203,MOE_VC203,EST_VC206,MOE_VC206,EST_VC207,MOE_VC207,EST_VC208,MOE_VC208,EST_VC211,MOE_VC211,EST_VC212,MOE_VC212,EST_VC213,MOE_VC213,EST_VC215,MOE_VC215,EST_VC216,MOE_VC216,EST_VC217,MOE_VC217,EST_VC218,MOE_VC218,EST_VC222,MOE_VC222,EST_VC223,MOE_VC223,EST_VC224,MOE_VC224,EST_VC225,MOE_VC225,EST_VC226,MOE_VC226,EST_VC227,MOE_VC227,EST_VC228,MOE_VC228,EST_VC232,MOE_VC232,EST_VC233,MOE_VC233,EST_VC234,MOE_VC234,EST_VC235,MOE_VC235,EST_VC239,MOE_VC239,EST_VC240,MOE_VC240,EST_VC241,MOE_VC241,EST_VC242,MOE_VC242,EST_VC243,MOE_VC243,EST_VC244,MOE_VC244,EST_VC245,MOE_VC245,EST_VC246,MOE_VC246,EST_VC248,MOE_VC248,EST_VC249,MOE_VC249,EST_VC250,MOE_VC250,EST_VC251,MOE_VC251,EST_VC252,MOE_VC252,EST_VC253,MOE_VC253,EST_VC257,MOE_VC257,EST_VC258,MOE_VC258,EST_VC259,MOE_VC259,EST_VC260,MOE_VC260,EST_VC261,MOE_VC261,EST_VC262,MOE_VC262,EST_VC263,MOE_VC263,EST_VC264,MOE_VC264,EST_VC268,MOE_VC268,EST_VC269,MOE_VC269,EST_VC270,MOE_VC270,EST_VC271,MOE_VC271,EST_VC272,MOE_VC272,EST_VC273,MOE_VC273,EST_VC276,MOE_VC276,EST_VC277,MOE_VC277,EST_VC278,MOE_VC278,EST_VC279,MOE_VC279,EST_VC280,MOE_VC280,EST_VC281,MOE_VC281,EST_VC284,MOE_VC284,EST_VC285,MOE_VC285,EST_VC286,MOE_VC286,EST_VC287,MOE_VC287,EST_VC288,MOE_VC288,EST_VC289,MOE_VC289,EST_VC293,MOE_VC293,EST_VC294,MOE_VC294,EST_VC295,MOE_VC295,EST_VC296,MOE_VC296,EST_VC297,MOE_VC297,EST_VC298,MOE_VC298,EST_VC299,MOE_VC299,EST_VC300,MOE_VC300,EST_VC301,MOE_VC301,EST_VC302,MOE_VC302,EST_VC303,MOE_VC303,EST_VC304,MOE_VC304,EST_VC305,MOE_VC305,EST_VC306,MOE_VC306,EST_VC310,MOE_VC310,EST_VC311,MOE_VC311,EST_VC312,MOE_VC312,EST_VC313,MOE_VC313,EST_VC314,MOE_VC314,EST_VC318,MOE_VC318,EST_VC319,MOE_VC319,EST_VC322,MOE_VC322,EST_VC323,MOE_VC323,EST_VC324,MOE_VC324,EST_VC325,MOE_VC325,EST_VC326,MOE_VC326,EST_VC327,MOE_VC327,EST_VC328,MOE_VC328,EST_VC329,MOE_VC329,EST_VC330,MOE_VC330,EST_VC331,MOE_VC331,EST_VC332,MOE_VC332,EST_VC334,MOE_VC334,EST_VC335,MOE_VC335,EST_VC336,MOE_VC336,EST_VC337,MOE_VC337,EST_VC338,MOE_VC338,EST_VC339,MOE_VC339,EST_VC340,MOE_VC340,EST_VC341,MOE_VC341,EST_VC343,MOE_VC343,EST_VC344,MOE_VC344,EST_VC348,MOE_VC348,EST_VC349,MOE_VC349,EST_VC351,MOE_VC351,EST_VC352,MOE_VC352,EST_VC354,MOE_VC354,EST_VC355,MOE_VC355,EST_VC359,MOE_VC359,EST_VC360,MOE_VC360,EST_VC361,MOE_VC361,EST_VC362,MOE_VC362,EST_VC366,MOE_VC366,EST_VC367,MOE_VC367,EST_VC368,MOE_VC368,EST_VC369,MOE_VC369,EST_VC370,MOE_VC370,EST_VC371,MOE_VC371,EST_VC372,MOE_VC372,EST_VC373,MOE_VC373,EST_VC374,MOE_VC374,EST_VC376,MOE_VC376,EST_VC377,MOE_VC377,EST_VC378,MOE_VC378,EST_VC379,MOE_VC379,EST_VC380,MOE_VC380,EST_VC381,MOE_VC381,EST_VC382,MOE_VC382,EST_VC383,MOE_VC383,EST_VC384,MOE_VC384,EST_VC385,MOE_VC385,EST_VC389,MOE_VC389,EST_VC390,MOE_VC390,EST_VC391,MOE_VC391,EST_VC394,MOE_VC394,EST_VC395,MOE_VC395,EST_VC399,MOE_VC399,EST_VC400,MOE_VC400,EST_VC401,MOE_VC401,EST_VC402,MOE_VC402,EST_VC403,MOE_VC403,EST_VC407,MOE_VC407,EST_VC408,MOE_VC408,EST_VC409,MOE_VC409,EST_VC410,MOE_VC410,EST_VC411,MOE_VC411,EST_VC412,MOE_VC412,EST_VC413,MOE_VC413,EST_VC414,MOE_VC414,EST_VC418,MOE_VC418,EST_VC419,MOE_VC419,EST_VC420,MOE_VC420,EST_VC424,MOE_VC424,EST_VC425,MOE_VC425,EST_VC426,MOE_VC426,EST_VC427,MOE_VC427,EST_VC428,MOE_VC428,EST_VC432,MOE_VC432,EST_VC433,MOE_VC433,EST_VC434,MOE_VC434,EST_VC438,MOE_VC438,EST_VC439,MOE_VC439,EST_VC440,MOE_VC440,EST_VC444,MOE_VC444,EST_VC445,MOE_VC445,EST_VC446,MOE_VC446,EST_VC447,MOE_VC447,EST_VC451,MOE_VC451,EST_VC452,MOE_VC452,EST_VC453,MOE_VC453,EST_VC457,MOE_VC457,EST_VC458,MOE_VC458,EST_VC462,MOE_VC462,EST_VC463,MOE_VC463,EST_VC464,MOE_VC464
0500000US36005,36005,Bronx,1,Total population,1455720,*****,96,0.5,3.6,0.4,0.3,0.1,0,0.1,1455720,*****,47.2,0.1,52.8,0.1,7.4,0.1,17.9,0.1,10.7,0.1,15.9,0.1,12.6,0.1,13,0.1,10.7,0.1,6.7,0.1,5.1,0.1,33.6,0.2,74.7,0.1,70.2,0.2,14.6,0.2,11.7,0.1,368321,319,51,0.1,49,0.1,1087399,319,45.8,0.1,54.2,0.1,387774,720,49.1,0.1,50.9,0.1,528644,741,45.7,0.1,54.3,0.1,170981,276,38.9,0.1,61.1,0.1,1413891,3384,45.3,0.5,36.6,0.7,12.6,0.7,5.5,0.5,2,0.2,498539,3078,66.5,1.1,31.4,1,28.7,1.2,13.4,0.7,29.7,0.9,14.8,0.9,33.5,1.1,14.7,0.8,12.3,0.8,2.4,0.4,18.8,0.9,17.1,0.9,1.7,0.3,2.84,0.02,3.53,0.04,1147677,318,31.7,1,5.2,0.3,9.4,0.5,4.9,0.4,48.8,0.9,529370,747,35.6,1.2,2,0.3,7.7,0.7,3.8,0.5,51,1.1,618307,863,28.4,1,7.9,0.5,11,0.7,5.8,0.5,47,1,410718,6722,5.7,0.5,5.3,0.6,40.2,1.1,20.6,0.8,28.2,0.9,198809,4814,69.8,1.6,23.6,1.6,211909,4377,62.6,1.3,32.6,1.2,931269,544,28,0.9,28.6,1.1,25.1,0.8,12,0.7,6.3,0.4,72,0.9,71.2,1.4,72.6,0.9,18.4,0.8,16,0.9,20.3,1,386946,1711,22460,3084,11877,2194,52.9,6,806396,646,5.6,0.5,26.4,3.9,1087250,355,1.9,0.3,1435711,2230,14.7,0.6,367900,441,5.9,0.9,906348,1670,13,0.7,161463,1816,44.4,1.7,1435377,2897,91,0.7,7.8,0.6,5.5,0.6,2.3,0.2,1.7,0.2,0.6,0.1,1.2,0.2,910942,14858,47.2,0.4,52.8,0.4,544778,14858,47,0.7,53,0.7,267915,11016,44,1.5,56,1.5,276863,12279,50,1.5,50,1.5,544778,14858,21.3,1.4,29,1.3,49.7,1.5,544778,14858,4.9,0.6,7.8,0.6,11.4,1.2,0.1,0.2,75.7,1.5,0.2,0.1,1348308,485,40.1,1,59.9,1,27.2,0.8,1123930,2505,60.3,0.8,60.3,0.8,54.3,0.9,6.1,0.5,10,0.8,0,0.1,39.7,0.8,606859,2283,55.9,1,55.9,1,50.3,1.1,5.6,0.4,10.1,0.8,591367,10094,23.2,1,4.2,0.5,60.1,1.4,7.3,0.7,1.9,0.3,3.3,0.4,44.7,0.8,610064,9944,24.9,0.9,34.5,1.2,22.1,1.1,7.1,0.5,11.4,0.7,304961,6381,20.5,1.3,30,1.7,17.3,1.3,13.7,1,18.5,1.4,305103,6550,29.2,1.5,39.1,1.6,26.9,1.6,0.6,0.2,4.2,0.7,610064,9944,0.1,0.1,5,0.4,3.3,0.5,1.4,0.2,11,0.8,7.6,0.6,1.6,0.3,6.5,0.6,8.8,0.7,32.5,1.1,13,1,5.6,0.6,3.7,0.5,610064,9944,79.5,0.9,14.8,1,5.6,0.6,0.1,0.1,498539,3078,37525,1266,75.4,1,58777,1471,26.1,0.8,14152,315,12.5,0.7,8800,318,7.5,0.6,3353,298,12,0.7,18656,1362,35.7,1.1,331774,5984,42602,1658,43.2,1.4,61249,2523,12.2,1.1,42289,6774,44.6,1.4,29046,1636,1455720,*****,19369,464,229876,6382,194761,5926,47539,1729,43867,1327,36582,1013,36942,791,1435711,2230,44.9,1.2,56.5,1.2,8.5,0.5,25.1,1.2,34.4,2,27.5,5.5,14.9,1.5,20.4,2.9,15.5,5.8,36.7,1.9,47.5,2.7,37,8.3,28.7,1.3,40.1,2.5,40,2.5,40.5,3.4,39.8,2.8,24.8,1.1,25.1,1.2,22.9,1.6,26.4,1.4,39.2,2,498539,3078,19.3,0.8,80.7,0.8,2.97,0.09,2.8,0.03,498539,3078,10.5,0.7,16.9,0.8,72.5,0.9,0.1,0.1,498539,3078,0.3,0.1,1.9,0.3,5,0.6,7,0.6,20.1,0.9,27.4,1,38.4,1,498539,3078,58.7,1.1,41.3,1.1,498539,3078,43.4,1.1,10.8,0.7,43.3,1.1,2.4,0.3,498539,3078,3.5,0.5,13.3,0.8,57191,3908,51.7,3.3,48.3,3.3,96282,4190,378000,14033,2307,82,709,46,384884,4874,40.3,1.5,59.7,1.5,392446,4851,1130,13,498539,3078,85.2,0.8,73.6,1
0500000US36047,36047,Brooklyn,1,Total population,2629150,*****,97,0.2,2.8,0.2,0.2,0.1,0,0.1,2629150,*****,47.4,0.1,52.6,0.1,7.4,0.1,15.8,0.1,8.7,0.1,18.4,0.1,13.9,0.1,12.1,0.1,11.1,0.1,7.2,0.1,5.5,0.1,34.8,0.1,76.8,0.1,73.7,0.1,15.8,0.1,12.7,0.1,609386,324,51.1,0.1,48.9,0.1,2019764,324,46.3,0.1,53.7,0.1,711892,529,48.6,0.1,51.4,0.1,974187,428,46.6,0.1,53.4,0.1,333685,367,40.7,0.1,59.3,0.1,2588753,5011,49.8,0.4,31.1,0.4,11.1,0.4,7.9,0.3,2.1,0.1,941871,4738,61.2,0.6,26.1,0.6,37,0.7,17,0.5,18,0.5,7.5,0.3,38.8,0.6,17,0.5,12,0.5,5,0.4,21.9,0.6,17.3,0.5,4.6,0.3,2.75,0.01,3.5,0.03,2111609,349,39.6,0.6,5.2,0.2,7,0.3,3.1,0.2,45.1,0.5,982183,483,43.2,0.7,2.3,0.2,5.3,0.4,2.2,0.2,47.1,0.6,1129426,367,36.5,0.6,7.8,0.4,8.4,0.4,3.9,0.3,43.4,0.5,655430,7437,7.7,0.5,6.3,0.4,39.3,0.7,19.5,0.5,27.2,0.7,322688,4461,67.8,1,24.3,0.9,332742,5780,62.4,1,30.1,1,1791538,249,18.7,0.5,25.1,0.6,19.7,0.5,22,0.5,14.4,0.4,81.3,0.5,80.9,0.7,81.6,0.6,36.4,0.6,35.1,0.8,37.5,0.6,706888,1894,36390,2461,8993,1563,24.7,4.1,1539081,584,4.6,0.3,33.6,3.3,2019299,469,1.7,0.1,2616844,3555,10.5,0.3,609060,414,2.6,0.3,1680990,3515,7.6,0.3,326794,1609,40.1,1,2591276,2623,90.5,0.4,8.7,0.4,5.8,0.4,2.9,0.2,1.8,0.2,1.1,0.1,0.9,0.1,1671003,16274,48.2,0.3,51.8,0.3,958147,16274,46.1,0.5,53.9,0.5,571452,11262,43.1,0.7,56.9,0.7,386695,12796,50.5,1.1,49.5,1.1,958147,16274,16.3,0.8,23.6,0.9,60.1,1.1,958147,16274,18.3,0.7,28.6,0.7,3.8,0.6,0.2,0.1,48.4,0.8,0.7,0.1,2434837,333,54.3,0.7,45.7,0.7,22.2,0.5,2083392,2329,63.9,0.4,63.9,0.4,59.4,0.4,4.5,0.3,7.1,0.4,0,0.1,36.1,0.4,1115713,1328,59.2,0.7,59.2,0.7,55.2,0.6,4,0.3,6.8,0.5,1206979,8940,17.9,0.5,4.1,0.3,61.8,0.6,8.5,0.4,2.9,0.3,4.7,0.3,42.8,0.3,1236979,9048,41.1,0.8,22.8,0.6,21.6,0.6,6.1,0.4,8.5,0.4,621364,6418,37.6,1.1,18.4,0.8,18.4,0.8,11.6,0.8,14,0.7,615615,6715,44.6,0.9,27.2,0.8,24.8,0.8,0.5,0.2,2.9,0.3,1236979,9048,0.1,0.1,4.9,0.4,3.4,0.3,2.3,0.2,9.8,0.4,6.4,0.4,4.5,0.3,7.4,0.3,13.8,0.5,27.8,0.6,10.7,0.4,5.1,0.3,3.8,0.3,1236979,9048,79.8,0.5,13.6,0.4,6.5,0.4,0.2,0.1,941871,4738,55150,1015,78.9,0.6,91048,1500,24.3,0.4,15695,293,8.9,0.4,9162,244,4.9,0.3,3736,287,11.7,0.3,23742,2006,23.4,0.5,575987,7226,61989,1015,60.5,0.8,79148,2016,10.1,0.5,52569,4919,29.4,0.8,41429,1518,2629150,*****,30526,513,462483,6567,409367,7294,72120,1755,59741,1302,50962,441,47498,1456,2616844,3555,54.4,0.7,45.8,0.7,7.8,0.3,16.4,0.7,23.1,1.2,17.9,2.4,12.1,0.9,17,1.5,11,2.5,25.1,1.7,34,2.5,34,6.4,20.6,0.7,28.4,1.5,28.2,1.5,27.4,2.1,28.6,1.7,18.3,0.6,17.8,0.7,21,1.3,18.2,0.8,28.9,1,941871,4738,29.5,0.6,70.5,0.6,3.08,0.05,2.61,0.02,941871,4738,14.1,0.4,32.9,0.7,52.7,0.6,0.2,0.1,941871,4738,0.4,0.1,1.6,0.2,5.6,0.3,6.2,0.3,15.9,0.5,20.7,0.5,49.6,0.7,941871,4738,55.4,0.7,44.6,0.7,941871,4738,80.2,0.6,7.6,0.4,10.6,0.4,1.6,0.2,941871,4738,3.6,0.3,10.6,0.5,168777,5278,51.4,1.7,48.6,1.7,277746,6184,667000,10084,2710,40,826,19,630013,6598,45.7,0.8,54.3,0.8,646168,6871,1343,11,941871,4738,87.2,0.5,79.3,0.7
0500000US36061,36061,Manhattan,1,Total population,1643734,*****,95.4,0.6,4.1,0.5,0.4,0.1,0.1,0.1,1643734,*****,47.4,0.1,52.6,0.1,4.9,0.1,9.7,0.1,9.3,0.1,22.7,0.1,14.6,0.1,12.6,0.1,11.4,0.1,8.3,0.1,6.6,0.1,37.1,0.2,85.4,0.1,82.1,0.2,18.3,0.2,14.9,0.1,240736,91,50.5,0.1,49.5,0.1,1402998,91,46.9,0.1,53.1,0.1,524532,323,47.2,0.1,52.8,0.1,632843,484,49.1,0.1,50.9,0.1,245623,435,40.7,0.1,59.3,0.1,1583632,4509,60.8,0.8,20.6,0.5,7.5,0.6,11.2,0.5,2.6,0.2,748293,8650,42.1,1.2,16.1,0.9,28.6,1,11,0.7,10.4,0.6,4.5,0.4,57.9,1.2,26.3,0.9,20.1,0.8,6.2,0.5,31.6,0.8,26.1,0.8,5.5,0.4,2.12,0.02,3.09,0.06,1437782,266,34.8,0.9,4.7,0.3,8.2,0.5,2.5,0.3,49.8,0.8,675474,643,37.4,1,2.1,0.3,6.9,0.7,2.3,0.4,51.3,1,762308,473,32.5,1.2,7,0.5,9.3,0.6,2.7,0.4,48.5,1.1,333589,7998,7.4,0.8,4.5,0.8,30.3,1.1,14.4,0.7,43.3,1.1,158344,5387,52.9,1.9,39.2,1.7,175245,5129,46,1.4,47,1.6,1250801,125,12.8,0.7,12.7,0.6,14.1,0.8,31.3,0.9,29.2,0.9,87.2,0.7,87.3,1.1,87.1,0.8,60.4,0.9,60.6,1.1,60.3,1,477291,1987,17531,2448,5217,1369,29.8,6.8,1055284,143,2.5,0.4,21.2,5.2,1402848,182,2,0.2,1632854,2354,10.2,0.5,240579,195,2.8,0.6,1152498,1567,7.1,0.5,239777,1786,32.8,2.1,1626404,2885,85.3,0.7,13,0.7,7.2,0.6,5.8,0.5,2.2,0.3,3.6,0.4,1.7,0.2,1156270,15471,47.5,0.4,52.5,0.4,487464,15471,47.2,1,52.8,1,233037,10788,44,1.6,56,1.6,254427,13093,50.1,1.9,49.9,1.9,487464,15471,24.1,1.5,23.3,1.9,52.6,2,487464,15471,17.4,1,30.8,1.3,4.9,1,1.4,0.3,42.6,1.5,2.9,0.6,1562859,204,59.6,0.8,40.4,0.8,15.9,0.6,1426471,1528,67,0.8,67,0.8,63.3,0.8,3.7,0.3,5.5,0.5,0,0.1,33,0.8,756835,1357,62.4,1,62.4,1,59,1,3.5,0.5,5.5,0.7,883213,12318,6,0.5,1.9,0.3,59.2,1.2,20.2,1,5.6,0.6,7.1,0.6,32.5,0.5,903214,11684,60,1.1,14.1,0.8,20.2,1.1,2,0.4,3.7,0.5,456985,7128,59.1,1.7,12.9,1.1,18.7,1.4,3.6,0.7,5.6,0.8,446229,7702,61,1.4,15.4,1,21.7,1.3,0.3,0.1,1.7,0.4,903214,11684,0,0.1,1.7,0.3,3.1,0.4,2,0.4,7.3,0.7,2.6,0.4,5.9,0.5,16.4,0.9,20.5,1,22.3,0.9,11.3,0.8,4.5,0.5,2.3,0.4,903214,11684,84.1,0.9,8.1,0.7,7.7,0.6,0.2,0.1,748293,8650,77559,2469,79.3,0.8,156910,4196,23.4,0.8,17676,546,6.2,0.5,9195,710,3,0.4,3464,620,10.6,0.6,29411,3346,13.3,0.7,315379,9492,99195,4470,67.9,1.3,157287,6445,7.5,1.1,58278,8685,24.6,1.2,33340,3240,1643734,*****,68126,1725,362408,7255,310635,7223,149874,5319,98649,3130,84603,5180,71618,1196,1632854,2354,67.7,0.9,34.9,0.8,5.1,0.5,13,1.1,19.2,2,9.8,3.2,6.5,1,7.3,1.7,2.6,1.7,30.7,3.3,41.4,4.6,33.7,11.9,17.3,0.8,23.1,2.3,22.9,2.3,19.8,3.3,24.5,2.7,16.2,0.8,15.6,0.8,19.1,1.7,14.8,1.2,21.2,1.1,748293,8650,23,0.8,77,0.8,2.02,0.05,2.15,0.03,748293,8650,1.8,0.3,3.1,0.3,94.9,0.4,0.2,0.1,748293,8650,0.6,0.2,1.7,0.3,6.2,0.5,10.4,0.7,21,1,17.2,0.8,42.9,1,748293,8650,76,1.1,24,1.1,748293,8650,41.9,1.2,28.4,1.1,26.7,1,3.1,0.4,748293,8650,4.5,0.5,6.3,0.5,88457,4287,74.1,3.1,25.9,3.1,172324,6034,1003400,44819,3171,183,923,82,548714,11082,54,1.4,46,1.4,563369,10331,1661,38,748293,8650,90.6,0.7,83.5,0.9
0500000US36081,36081,Queens,1,Total population,2333054,*****,96.4,0.3,3.3,0.3,0.2,0.1,0,0.1,2333054,*****,48.5,0.1,51.5,0.1,6.2,0.1,14.2,0.1,8.4,0.1,16.4,0.1,14,0.1,13.9,0.1,12.7,0.1,8,0.1,6.2,0.1,38.3,0.2,79.6,*****,76.3,0.1,17.7,0.2,14.3,0.1,476409,*****,51.2,0.2,48.8,0.2,1856645,*****,47.8,0.1,52.2,0.1,576939,895,49.9,0.1,50.1,0.1,947156,1100,48.6,0.1,51.4,0.1,332550,487,41.8,0.1,58.2,0.1,2304957,3370,47.8,0.4,31.1,0.4,13.8,0.5,7.3,0.4,1.6,0.1,761819,5689,66.4,0.8,26.4,0.7,44.7,0.8,18.7,0.6,15.6,0.6,5.9,0.4,33.6,0.8,15.3,0.6,11.2,0.6,4.1,0.4,18.3,0.6,15.6,0.6,2.7,0.3,3.03,0.02,3.72,0.04,1932331,511,44.6,0.7,6,0.2,7.3,0.3,2.6,0.2,39.5,0.5,926503,352,47.3,0.7,2.5,0.3,5.7,0.3,2,0.2,42.5,0.7,1005828,325,42.1,0.9,9.2,0.4,8.8,0.4,3.1,0.3,36.8,0.7,556070,7909,5.8,0.4,4.9,0.5,37.2,0.8,18.8,0.6,33.2,0.8,272331,4537,63.2,1.1,30.2,1.1,283739,5805,58.7,1.3,36.1,1,1661279,822,18.4,0.5,27.9,0.7,22.2,0.5,19.5,0.5,11.9,0.4,81.6,0.5,82.4,0.7,80.8,0.6,31.4,0.6,30.9,0.8,31.9,0.8,591434,2080,27293,2657,8260,1415,30.3,4.1,1463942,815,5.5,0.4,23.7,2.9,1855473,593,2.5,0.2,2317082,2292,9.9,0.3,476209,132,3.3,0.5,1518877,1623,6.9,0.3,321996,1720,33.6,1.2,2307244,2758,91.7,0.5,6.9,0.4,4.3,0.4,2.6,0.2,1.8,0.2,0.7,0.1,1.4,0.2,1235078,13760,50,0.4,50,0.4,1097976,13760,46.8,0.4,53.2,0.4,609615,13217,44.8,0.8,55.2,0.8,488361,13645,49.4,0.9,50.6,0.9,1097976,13760,16.4,0.8,27,1,56.6,1,1097976,13760,11.3,0.4,39.9,0.7,2,0.3,0.1,0.1,46.4,0.8,0.3,0.1,2187745,508,43.9,0.8,56.1,0.8,29.4,0.6,1906461,1608,64.5,0.5,64.4,0.5,60.5,0.5,3.9,0.3,6,0.4,0.1,0.1,35.5,0.5,992232,1332,58,0.7,58,0.7,54.2,0.7,3.8,0.3,6.5,0.6,1117422,11301,31.3,0.8,6.7,0.5,52.1,0.9,5.9,0.4,1.3,0.2,2.6,0.3,44.3,0.4,1153909,10436,33.8,0.7,24.3,0.7,23.2,0.6,8.2,0.4,10.5,0.5,616373,6145,29.9,0.8,21.1,0.9,18.2,0.8,14.8,0.8,16.1,0.8,537536,7347,38.3,0.9,28,0.9,29.1,0.9,0.6,0.2,4.1,0.4,1153909,10436,0.1,0.1,7.2,0.4,3.8,0.3,2.3,0.2,10.3,0.4,8.2,0.4,2.7,0.2,8.1,0.4,10.3,0.4,24.2,0.6,11.6,0.6,6.7,0.5,4.4,0.3,1153909,10436,79.6,0.6,14.3,0.5,6,0.4,0.1,0.1,761819,5689,62207,1151,80.8,0.6,85132,1489,28.2,0.5,17318,310,5.5,0.4,8727,413,3.2,0.3,3654,398,14.1,0.5,24920,1447,13,0.7,505823,6595,70538,1685,67.3,0.9,81299,1816,9.1,0.6,58288,7324,23.5,0.9,48521,2683,2333054,*****,28609,439,481389,7445,367477,6180,59503,1279,53619,1081,46822,793,44644,1758,2317082,2292,57.6,0.7,40.5,0.7,10.1,0.5,10.8,0.8,14.7,1.2,11.9,2.3,8.3,0.7,9.9,1.2,6.5,2,18,1.8,27.3,2.7,31,6.3,13.2,0.7,17.4,1.6,17.3,1.6,16.4,2.3,17.6,1.7,12.1,0.6,11.6,0.7,14.3,1.1,10.9,0.8,23.1,1.2,761819,5689,44.1,0.8,55.9,0.8,3.23,0.05,2.87,0.04,761819,5689,28.4,0.5,30.6,0.6,40.9,0.7,0.2,0.1,761819,5689,0.4,0.1,1.5,0.2,4.2,0.3,6.4,0.4,19.3,0.7,34.7,0.9,33.5,0.7,761819,5689,37,0.9,63,0.9,761819,5689,78.9,0.7,6.1,0.4,14.1,0.5,1,0.2,761819,5689,2.2,0.3,9.2,0.5,195758,5326,52,1.7,48,1.7,335984,6461,508000,9433,2428,36,819,15,400483,6559,44.1,1.4,55.9,1.4,408030,6773,1452,15,761819,5689,88.6,0.5,81.7,0.7
