Unique_ID,AnimalName,AnimalClass,AnimalBreed,AnimalColour,AnimalGender,AnimalDesexed,locality,OBJECTID
15538,Anika,Desexed/Concession/Microchipped,Akita,Red,F,Y,KLEMZIG,14538
15539,Kira,Desexed/Concession,Akita,Sandy,F,Y,KLEMZIG,14539
15540,Master Shiro,Concession/Microchipped,Akita,White,M,N,KLEMZIG,14540
15541,Bambi,Desexed/Pension,Maltese,White,M,Y,KLEMZIG,14541
15542,Rex,Standard,German Shepherd,Black & Tan,M,N,KLEMZIG,14542
15543,Buddy,Desexed/Microchipped,Australian Terrier,Grey & White,M,Y,NEW PORT,14543
15544,Devo,Desexed/Microchipped,Whippet,Blue & White,M,Y,NORTHFIELD,14544
15545,Wilfred,Desexed/Microchipped,Australian Terrier,Tan,M,Y,QUEENSTOWN,14545
15546,Ode,Desexed/Microchipped,Dalmation,Black & White,M,Y,QUEENSTOWN,14546
15547,Bella,Desexed/Microchipped,Pomeranian,White & Tan,F,Y,OSBORNE,14547
15548,Ruby,Desexed/Microchipped/Obedience,Poodle - Toy,Black,F,Y,OSBORNE,14548
15549,Charlie,Desexed/Microchipped,Poodle - Toy,Black,M,Y,KLEMZIG,14549
15550,Harvey,Pension/Microchipped,Border Collie,Blue Merle,M,N,CLEARVIEW,14550
15551,Evie,Desexed/Microchipped/Obedience,Golden Retriever,White & Cream,F,Y,HILLCREST,14551
15552,Panda,Desexed/Microchipped,Keeshond,Grey & White,M,Y,KILBURN,14552
15553,Pepper,Concession,Rhodesian Ridgeback,Tan & White,F,N,ENFIELD,14553
15554,Molly,Desexed/Microchipped,Doberman,Black & Tan,F,Y,BLAIR ATHOL,14554
15555,Theo,Desexed/Microchipped,Spoodle,Cream,M,Y,GREENACRES,14555
15556,Bodie,Desexed/Microchipped,Beagle,White & Red,F,Y,TAPEROO,14556
15557,Layne,Desexed/Microchipped,Beagle,Tri Colour,F,Y,TAPEROO,14557
15558,Tess,Desexed/Pension/Microchipped,Cairn Terrier,Brindle,F,Y,TAPEROO,14558
15559,Tele,Standard,Cavalier King Charles Spaniel,Brown,M,N,CLEARVIEW,14559
15560,Jersey,Desexed/Microchipped/Obedience,Beagle,Tri Colour,F,Y,KLEMZIG,14560
15561,Holly,Desexed/Concession/Microchipped,Shih Tzu,White & Brown,F,Y,TAPEROO,14561
15562,Jess,Desexed,Labrador,Gold,F,Y,TAPEROO,14562
15563,Benji,Desexed/Microchipped,Australian Terrier,Tan,M,Y,WINDSOR GARDENS,14563
