RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,CommunityDistrict,CensusTract2010,NTA,CityCouncilDistrict,CongressionalDistrict,StateSenatorialDistrict,LicenseIssuedDate,LicenseExpiredDate
88274,MAX,M,4/1/10 0:00,Puggle,Queens,11385,405,591,QN20,30,7,12,7/16/16,7/28/17
88931,ROLEX,M,7/1/08 0:00,Pug,Staten Island,10303,501,231,SI12,49,11,23,7/19/16,7/19/18
89059,SIMON,M,4/1/15 0:00,Boxer,Queens,11109,402,1,QN31,26,12,12,7/19/16,7/18/17
89334,LULA,F,9/1/10 0:00,Beagle,Brooklyn,11221,303,281,BK35,36,8,25,7/20/16,2/23/17
89373,ONYX ,M,4/1/15 0:00,Maltese,Bronx,10454,201,23,BX39,8,15,29,7/20/16,7/20/18
90174,POLIZZI,M,5/1/16 0:00,Maltese,Queens,11414,410,892,QN57,32,8,15,7/23/16,7/23/17
90453,ZOE,F,1/1/05 0:00,Maltese,Queens,11375,406,723,QN17,29,6,15,7/25/16,8/4/17
91009,BRANDY,M,2/1/09 0:00,Lhasa Apso,Manhattan,10016,105,72,MN20,2,12,28,7/27/16,6/5/17
91286,PRISCILLA ,F,1/1/01 0:00,Unknown,Queens,11428,413,496,QN34,23,5,14,7/28/16,7/30/17
91624,JERRY,M,5/1/16 0:00,Maltese,Brooklyn,11236,318,982,BK50,42,8,19,7/30/16,7/30/17
94931,TUFFY,M,7/1/09 0:00,Chihuahua,Bronx,10460,206,60,BX75,15,15,32,8/11/16,9/24/17
96746,SANDY ,F,4/1/16 0:00,Morkie,Bronx,10455,201,71,BX34,17,15,32,8/18/16,8/18/17
97047,RUPERT,M,3/1/15 0:00,Pug,Queens,11414,410,892,QN57,32,8,15,8/21/16,8/21/18
97409,HALEY ,F,1/1/05 0:00,Unknown,Queens,11363,411,1479,QN45,19,3,11,8/22/16,7/30/17
97843,SADIE ,F,5/1/13 0:00,Pug,Manhattan,10025,107,191,MN12,7,10,30,8/24/16,10/17/17
99358,LUNA ,F,12/1/02 0:00,Unknown,Manhattan,10024,107,175,MN12,6,10,31,9/2/16,9/30/17
101091,AUGIE,M,6/1/11 0:00,Puggle,Queens,11421,409,8,QN53,32,7,15,9/10/16,10/7/17
101307,UGO,M,1/1/09 0:00,Unknown,Bronx,10469,211,316,BX31,13,14,34,9/12/16,9/17/17
102763,VEGAS,M,1/1/09 0:00,Unknown,Queens,11357,407,1039,QN49,19,3,11,9/16/16,10/8/17
103230,KISS,F,7/1/12 0:00,Maltese,Manhattan,10032,112,261,MN36,10,13,31,9/19/16,11/19/18
103433,BIAH ,F,1/1/04 0:00,Pug,Queens,11377,401,295,QN63,26,14,13,9/19/16,9/30/17
105343,HANK,M,2/1/05 0:00,Pug,Brooklyn,11215,306,137,BK37,39,7,21,9/28/16,8/18/17
106386,ROXY,F,12/1/10 0:00,Unknown,Bronx,10463,208,273,BX28,14,13,33,10/3/16,10/27/17
109913,BLACKIE ,M,1/1/06 0:00,Unknown,Bronx,10465,210,138,BX52,13,14,34,10/20/16,9/21/17
110958,YOFFI,F,1/1/07 0:00,Unknown,Manhattan,10023,107,159,MN14,6,10,29,10/25/16,10/27/17
112181,R.A.,F,5/1/12 0:00,Unknown,Queens,11417,410,58,QN56,32,8,15,11/1/16,12/12/17
112712,LETTY ,F,6/1/14 0:00,Maltese,Queens,11421,409,8,QN53,32,7,15,11/3/16,11/3/17
113486,FRANKLIN,M,10/1/11 0:00,Maltese,Manhattan,10025,107,183,MN12,7,10,30,11/8/16,10/21/17
114941,ROXY,F,10/1/13 0:00,Unknown,Brooklyn,11217,302,181,BK68,35,8,25,11/15/16,12/10/17
115518,PHEEBS,F,12/1/13 0:00,Beagle,Queens,11101,402,7,QN31,26,12,12,11/18/16,12/30/17
120475,NOT ,M,7/1/16 0:00,Puggle,Queens,11374,406,687,QN18,29,6,15,12/19/16,12/19/17
120587,GINGER,F,8/1/09 0:00,Pug,Bronx,10463,208,289,BX29,11,13,33,12/20/16,12/3/17
120808,UNKNOWN,M,8/1/16 0:00,Pug,Manhattan,10033,112,269,MN35,10,13,31,12/21/16,12/21/17
120943,MAXI,F,1/1/07 0:00,Unknown,Bronx,10473,209,84,BX09,18,15,34,12/23/16,1/28/22
121295,HARLEY,M,7/1/11 0:00,Unknown,Brooklyn,11210,314,748,BK43,45,9,17,12/27/16,2/14/18
45299,GUCCI ,F,1/1/04 0:00,Yorkshire Terrier,Manhattan,10030,110,232,MN03,9,13,30,1/1/16,1/30/17
45300,GRETA,F,10/1/15 0:00,"Schnauzer, Standard",Manhattan,10023,107,161,MN12,6,10,29,1/1/16,1/1/17
45301,STANLEY ,M,7/1/05 0:00,Unknown,Queens,11375,406,71305,QN17,29,6,16,1/1/16,12/30/16
45302,SWEETIE ,F,8/1/09 0:00,Australian Shepherd,Queens,11357,407,991,QN49,19,3,11,1/1/16,1/13/19
45303,ANGEL,M,12/1/10 0:00,Shih Tzu,Brooklyn,11226,314,50804,BK42,40,9,21,1/1/16,1/1/17
45304,GAMBINO,M,1/1/08 0:00,Maltese,Bronx,10452,205,21301,BX36,14,15,29,1/1/16,1/23/17
45305,ASTA,F,6/1/09 0:00,"Schnauzer, Miniature",Brooklyn,11238,308,207,BK64,35,9,20,1/1/16,1/1/17
45306,AUGGIE,M,12/1/08 0:00,West High White Terrier,Staten Island,10304,502,177,SI24,50,11,24,1/1/16,11/10/16
45307,URSULA,F,11/1/10 0:00,Cocker Spaniel,Manhattan,10003,103,40,MN22,2,12,27,1/1/16,11/16/17
45308,NAME NOT PROVIDED,F,9/1/15 0:00,Unknown,Bronx,10452,205,217,BX36,14,15,29,1/1/16,1/1/17
45309,WEMBLEY,M,10/1/14 0:00,Labrador Retriever Crossbreed,Brooklyn,11206,301,493,BK78,34,7,18,1/1/16,1/1/21
45310,NAME NOT PROVIDED,M,9/1/15 0:00,Poodle Crossbreed,Brooklyn,11238,308,207,BK64,35,9,20,1/1/16,1/1/17
45311,NAME NOT PROVIDED,M,9/1/15 0:00,Poodle Crossbreed,Bronx,10452,205,217,BX36,14,15,29,1/1/16,1/1/17
45312,NIKKI ,F,11/1/14 0:00,German Shepherd Crossbreed,Brooklyn,11223,315,584,BK25,48,11,17,1/1/16,1/1/17
45313,BOWIE,M,8/1/15 0:00,Australian Shepherd,Bronx,10461,211,296,BX49,13,14,34,1/1/16,1/1/17
45314,IZZIE,F,11/1/11 0:00,Catahoula Leopard Dog,Manhattan,10023,107,153,MN14,6,10,27,1/1/16,1/1/19
45315,ISABELLA,F,4/1/08 0:00,"Welsh Corgi, Pembroke",Brooklyn,11215,307,141,BK37,39,7,21,1/1/16,1/14/17
45316,MAXIMUS,M,10/1/14 0:00,Pit Bull Mix,Staten Island,10303,501,223,SI12,49,11,23,1/1/16,1/20/17
45317,MELLOW,M,10/1/15 0:00,Australian Shepherd,Manhattan,10016,105,74,MN17,2,12,28,1/1/16,1/1/17
45318,MELLOW ,M,7/1/15 0:00,Yorkshire Terrier,Manhattan,10009,103,24,MN28,2,7,27,1/1/16,1/1/17
45319,CHARLIE,F,1/1/14 0:00,Terrier mix,Manhattan,10022,106,98,MN19,4,12,28,1/1/16,1/1/18
45320,SAMBA,F,6/1/07 0:00,American Staffordshire Terrier ,Bronx,10465,210,144,BX52,13,14,34,1/1/16,2/26/17
45321,RUBY,F,9/1/11 0:00,Pit Bull,Queens,11420,410,176,QN55,28,5,10,1/1/16,1/1/17
45322,SHEEBA,F,6/1/07 0:00,American Staffordshire Terrier ,Bronx,10465,210,144,BX52,13,14,34,1/1/16,2/26/17
45323,JASE-GALANTE ,M,10/1/12 0:00,Greyhound,Staten Island,10302,501,207,SI28,49,11,23,1/1/16,1/1/17
45324,COCO ,F,9/1/14 0:00,Australian Silky Terrier,Manhattan,10009,103,24,MN28,2,7,27,1/1/16,1/30/17
45325,JIMMY,M,2/1/05 0:00,Yorkshire Terrier,Queens,11375,406,747,QN17,29,6,16,1/1/16,1/20/17
45326,PIXIE ,F,1/1/12 0:00,Yorkshire Terrier,Bronx,10465,210,138,BX52,13,14,34,1/1/16,12/5/16
45327,PUMPKIN ,F,10/1/15 0:00,Miniature Schnauzer,Brooklyn,11213,308,349,BK61,36,9,20,1/1/16,1/1/17
45328,TOBY,M,1/1/06 0:00,Yorkshire Terrier,Staten Island,10307,503,248,SI11,51,11,24,1/1/16,1/30/17
45329,TEXAS,M,10/1/11 0:00,Shiba Inu,Manhattan,10033,112,265,MN36,10,13,31,1/1/16,12/26/16
45330,LUCY ,F,6/1/13 0:00,Labrador Retriever,Manhattan,10009,103,28,MN28,2,12,27,1/1/16,1/1/17
45331,EMMA,F,5/1/06 0:00,Norfolk Terrier,Brooklyn,11211,301,477,BK90,34,12,18,1/1/16,1/26/17
45332,EKO,M,10/1/15 0:00,Ibizan Hound,Manhattan,10005,101,7,MN25,1,10,26,1/1/16,1/1/17
45333,BELLA,F,1/1/08 0:00,Unknown,Queens,11374,406,703,QN18,29,6,15,1/1/16,4/28/16
45334,DUTCH ,M,10/1/06 0:00,Pit Bull Mix,Manhattan,10029,111,164,MN33,8,13,29,1/1/16,12/28/17
45335,HARPER,F,8/1/15 0:00,Golden Retriever,Manhattan,10022,106,98,MN19,4,12,28,1/1/16,1/1/17
45336,UNKNOWN,F,10/1/15 0:00,Shih Tzu Crossbreed,Queens,11413,412,376,QN08,27,5,14,1/1/16,1/1/17
45337,RITA,F,5/1/08 0:00,Old English Sheepdog,Brooklyn,11222,301,593,BK76,33,12,18,1/1/16,1/1/18
45338,RINGO ,M,5/1/02 0:00,Basset Hound,Queens,11365,408,1247,QN38,24,6,11,1/1/16,1/19/17
45339,RASCAL,M,7/1/13 0:00,Chihuahua,Manhattan,10065,108,118,MN31,5,12,28,1/1/16,1/3/17
45340,REMY ,F,8/1/05 0:00,Pit Bull,Staten Island,10301,501,11,SI22,49,11,23,1/2/16,12/28/16
45341,REGGIE,M,10/1/07 0:00,Unknown,Brooklyn,11218,307,504,BK40,39,9,21,1/2/16,11/24/17
45342,QUINCY,M,7/1/09 0:00,Bichon Frise,Staten Island,10306,503,13204,SI25,51,11,24,1/2/16,2/10/17
45343,TOOTSIE,F,12/1/04 0:00,Labrador Retriever,Staten Island,10310,501,105,SI35,49,11,23,1/2/16,2/20/17
45344,TOMMY,M,9/1/15 0:00,Australian Shepherd,Manhattan,10001,104,99,MN13,3,10,27,1/2/16,1/2/17
45345,TWIGGY,F,1/1/13 0:00,Chow Chow,Manhattan,10032,112,261,MN36,10,13,31,1/2/16,12/30/16
45346,UNKNOWN,F,9/1/15 0:00,French Bulldog,Manhattan,10023,107,161,MN12,6,10,29,1/2/16,1/2/17
45347,MAKS,M,9/1/15 0:00,Beagle,Brooklyn,11237,304,409,BK77,37,7,18,1/2/16,1/2/17
45348,MAGIC ,M,5/1/12 0:00,Unknown,Manhattan,10024,107,169,MN12,6,10,29,1/2/16,12/19/16
45349,MANGO,M,4/1/11 0:00,Cairn Terrier,Manhattan,10024,107,165,MN12,6,10,29,1/2/16,2/11/17
45350,MARLEY,M,6/1/06 0:00,Unknown,Manhattan,10029,111,182,MN34,8,13,30,1/2/16,12/29/16
45351,BLACKIE,M,5/1/04 0:00,Chihuahua Crossbreed,Queens,11414,410,6201,QN57,32,8,15,1/2/16,1/2/17
