RowNumber,AnimalName,AnimalGender,AnimalBirthMonth,BreedName,Borough,ZipCode,CommunityDistrict,CensusTract2010,NTA,CityCouncilDistrict,CongressionalDistrict,StateSenatorialDistrict,LicenseIssuedDate,LicenseExpiredDate
46915,MONTE ,M,1/1/05 0:00,Unknown,Manhattan,10024,107,177,MN12,6,10,30,1/12/16,2/28/17
46916,RUSTY,M,5/1/15 0:00,Labrador Retriever,Brooklyn,11226,314,50803,BK42,40,9,21,1/12/16,1/12/19
46917,SAM,M,4/1/07 0:00,Unknown,Queens,11414,410,892,QN57,32,8,15,1/12/16,3/9/17
46918,SAM,M,12/1/09 0:00,Labrador Retriever,Brooklyn,11234,318,656,BK45,46,8,22,1/12/16,3/13/17
46919,SAM,M,10/1/14 0:00,Shih Tzu,Manhattan,10075,108,136,MN32,5,12,28,1/12/16,1/29/17
46920,MIKKO ,M,1/1/05 0:00,Havanese,Manhattan,10025,107,179,MN12,6,10,30,1/12/16,12/30/16
46921,RUMPELSTILSKIN,F,6/1/10 0:00,Unknown,Manhattan,10065,108,118,MN31,5,12,28,1/12/16,3/5/17
46922,RUDY ,M,1/1/01 0:00,Maltese,Manhattan,10009,103,32,MN22,2,12,27,1/12/16,1/30/17
46923,RUDY ,M,10/1/03 0:00,German Shepherd Crossbreed,Manhattan,10065,,NULL,NULL,,,,1/12/16,3/1/17
46924,SANDY,F,9/1/14 0:00,Cairn Terrier,Bronx,10455,201,43,BX39,8,15,29,1/12/16,12/19/16
46925,CHARLEMAGNE,M,9/1/09 0:00,Maltese,Manhattan,10027,109,20701,MN09,7,10,30,1/12/16,10/1/17
46926,CHAPPIE,M,7/1/13 0:00,Jack Russell Terrier,Brooklyn,11221,303,295,BK35,36,8,25,1/12/16,1/12/17
46927,CHARLIE ,M,11/1/05 0:00,Cavalier King Charles Spaniel,Manhattan,10075,108,142,MN40,4,12,28,1/12/16,3/30/17
46928,CHARLIE,M,9/1/12 0:00,Cavalier King Charles Spaniel,Staten Island,10308,503,14606,SI54,51,11,24,1/12/16,1/28/17
46929,HUNTER,M,8/1/07 0:00,Shih Tzu,Brooklyn,11230,312,440,BK46,44,10,22,1/12/16,3/12/17
46930,INDIE ,F,1/1/04 0:00,German Shepherd Crossbreed,Manhattan,10014,,NULL,NULL,,,,1/12/16,2/28/17
46931,CHEWBACCA,M,8/1/10 0:00,Yorkshire Terrier,Brooklyn,11235,315,628,BK17,48,9,22,1/12/16,3/11/17
46932,CHEWY ,M,4/1/14 0:00,Shih Tzu,Brooklyn,11215,306,135,BK37,39,7,20,1/12/16,1/12/17
46933,HOPE ,F,1/1/01 0:00,Unknown,Manhattan,10024,107,175,MN12,6,10,31,1/12/16,1/30/17
46934,HONEY ,F,10/1/14 0:00,Pomeranian,Queens,11367,408,77904,QN37,24,6,15,1/12/16,1/2/17
46935,JADEN,M,8/1/08 0:00,Yorkshire Terrier,Brooklyn,11225,309,329,BK60,40,9,20,1/12/16,12/17/16
46936,JADE,F,12/1/04 0:00,Chihuahua,Manhattan,10002,103,2201,MN28,2,12,26,1/12/16,2/25/17
46937,JACOB,M,10/1/15 0:00,Maltese,Bronx,10457,206,36502,BX17,17,15,33,1/12/16,1/12/17
46938,MAX,M,6/1/12 0:00,"Mastiff, Bull",Bronx,10463,208,409,BX28,11,13,34,1/12/16,1/3/17
46939,JACK,M,10/1/15 0:00,Bulldog,Brooklyn,11236,318,1012,BK50,46,8,19,1/12/16,1/12/17
46940,JACK,M,9/1/07 0:00,Cavalier King Charles Spaniel,Manhattan,10075,108,142,MN40,4,12,28,1/12/16,3/4/17
46941,JACK ,M,10/1/09 0:00,Brussels Griffon,Manhattan,10028,108,142,MN40,4,12,28,1/12/16,3/12/16
46942,MAX,M,7/1/10 0:00,Beagle,Brooklyn,11220,307,76,BK32,38,7,20,1/12/16,12/26/16
46943,MAXINE ,F,5/1/13 0:00,Pit Bull,Brooklyn,11216,303,249,BK75,36,8,25,1/12/16,1/12/17
46944,MAZZY,F,10/1/10 0:00,Tibetan Terrier,Brooklyn,11249,301,555,BK73,33,12,26,1/12/16,3/8/17
46945,MICKEY,M,7/1/06 0:00,Unknown,Manhattan,10021,108,132,MN31,5,12,28,1/12/16,1/30/17
46946,MIA ,F,1/1/05 0:00,Yorkshire Terrier,Manhattan,10003,102,59,MN23,2,12,27,1/12/16,2/28/19
46947,BRANDY,M,1/1/05 0:00,Norwich Terrier,Manhattan,10028,108,140,MN40,4,12,28,1/12/16,2/8/17
46948,BREFFNI,F,1/1/03 0:00,Wire Fox Terrier,Queens,11104,402,183,QN31,26,14,12,1/12/16,1/30/17
46949,BOO,F,1/1/11 0:00,Cocker Spaniel,Manhattan,10128,108,16001,MN40,4,12,28,1/12/16,2/27/17
46950,BRODY,M,10/1/15 0:00,Maltese,Manhattan,10001,104,99,MN13,3,10,27,1/12/16,1/12/17
46951,BRONX,M,10/1/05 0:00,Labrador Retriever,Brooklyn,11203,317,870,BK91,41,9,20,1/12/16,1/14/17
46952,DAKOTA,M,10/1/12 0:00,Boxer,Staten Island,10312,503,17008,SI48,51,11,24,1/12/16,2/26/17
46953,BUDDY,M,10/1/12 0:00,Silky Terrier,Queens,11355,407,837,QN62,20,6,16,1/12/16,1/12/17
46954,BUDDY,M,10/1/08 0:00,Havanese,Manhattan,10024,107,165,MN12,6,10,29,1/12/16,12/19/16
46955,BUD,M,1/1/10 0:00,Pit Bull,Queens,11385,405,555,QN20,34,7,12,1/12/16,1/12/17
46956,BUC,M,10/1/09 0:00,Unknown,Manhattan,10028,108,142,MN40,4,12,28,1/12/16,2/26/17
46957,BRUNO,M,12/1/10 0:00,Yorkshire Terrier,Manhattan,10029,111,178,MN34,8,13,29,1/12/16,1/12/17
46958,LADY ,F,1/1/01 0:00,Pug,Manhattan,10024,107,179,MN12,6,10,31,1/12/16,2/28/17
46959,DJ,M,7/1/08 0:00,"Dachshund, Long Haired",Manhattan,10011,102,65,MN23,1,10,27,1/12/16,2/4/17
46960,DJANGO,M,9/1/14 0:00,Labrador Retriever,Brooklyn,11226,314,1522,BK42,40,9,17,1/12/16,1/12/17
46961,DOLLY ,F,1/1/15 0:00,German Shepherd Dog,Brooklyn,11230,314,766,BK42,45,9,21,1/12/16,1/12/17
46962,DERBY,M,7/1/08 0:00,Labrador Retriever,Manhattan,10033,112,265,MN36,10,13,31,1/12/16,3/9/17
46963,LEO,M,10/1/14 0:00,Chihuahua,Manhattan,10029,111,166,MN33,5,13,30,1/12/16,3/12/21
46964,LEXI,F,1/1/11 0:00,Labrador Retriever,Brooklyn,11229,315,632,BK17,46,9,22,1/12/16,1/12/17
46965,LARRY,M,10/1/09 0:00,Pembroke Welsh Corgi,Brooklyn,11215,306,157,BK37,39,9,20,1/12/16,3/15/17
46966,ZIGGY ,M,8/1/04 0:00,Puli,Brooklyn,11226,314,51602,BK42,40,9,21,1/12/16,1/24/17
46967,XIOMY,F,1/1/09 0:00,Lhasa Apso,Bronx,10463,208,297,BX29,11,16,34,1/12/16,1/23/17
46968,ZEKE,M,8/1/07 0:00,Jack Russell Terrier,Brooklyn,11215,306,119,BK37,39,7,20,1/12/16,1/12/17
46969,ZEESIE,F,12/1/02 0:00,Unknown,Manhattan,10019,104,133,MN15,3,10,27,1/12/16,2/25/17
46970,NICKI ,F,1/1/06 0:00,Maltese,Queens,11358,407,1141,QN51,19,6,11,1/12/16,2/28/17
46971,NIKO ,M,1/1/06 0:00,German Shepherd Dog,Bronx,10461,210,264,BX52,13,14,34,1/12/16,1/30/17
46972,NILE,F,12/1/11 0:00,Chihuahua,Manhattan,10011,104,81,MN13,3,12,27,1/12/16,1/12/17
46973,WINSTON,M,7/1/14 0:00,French Bulldog,Brooklyn,11238,302,199,BK69,35,8,25,1/12/16,1/12/19
46974,LILLY,F,12/1/09 0:00,Beagle,Queens,11364,411,129104,QN42,23,6,11,1/12/16,1/12/17
46975,LILI ,F,1/1/04 0:00,Bichon Frise,Queens,11697,414,91601,QN10,32,5,15,1/12/16,1/30/17
46976,NIA ,F,5/1/10 0:00,Pekingese,Queens,11379,,NULL,NULL,,,,1/12/16,1/4/17
46977,NEWTON,M,11/1/11 0:00,Cotton De Tulear,Manhattan,10021,108,124,MN31,5,12,28,1/12/16,3/4/17
46978,NELLIE ,F,3/1/09 0:00,"Poodle, Standard",Manhattan,10024,107,175,MN12,6,10,31,1/12/16,3/5/17
46979,KUBBY-BEAR,M,6/1/04 0:00,"Poodle, Miniature",Manhattan,10009,106,44,MN50,4,12,27,1/12/16,2/3/17
46980,MOOSE,M,2/1/13 0:00,American Staffordshire Terrier ,Brooklyn,11229,315,568,BK44,46,9,19,1/12/16,1/3/21
46981,MR. ,M,4/1/14 0:00,Chihuahua,Brooklyn,11231,306,49,BK33,39,7,26,1/12/16,12/18/16
46982,MURPHY,M,10/1/10 0:00,Havanese,Manhattan,10011,104,91,MN13,3,12,27,1/12/16,2/28/17
46983,NALA,F,9/1/08 0:00,German Shepherd Dog,Brooklyn,11228,310,166,BK30,43,11,22,1/12/16,1/12/17
46984,NACHO,M,9/1/14 0:00,Unknown,Manhattan,10024,107,173,MN12,6,10,30,1/12/16,3/12/21
46985,ROCKO,M,9/1/13 0:00,Pit Bull Mix,Bronx,10468,207,265,BX30,14,13,33,1/12/16,1/12/17
46986,NAME NOT PROVIDED,M,1/1/00 0:00,Unknown,Staten Island,10312,503,20804,SI32,51,11,24,1/12/16,1/30/17
46987,ROCKY,M,11/1/03 0:00,Jack Russell Terrier,Manhattan,10025,107,191,MN12,7,10,30,1/12/16,3/1/17
46988,ROCKY,M,11/1/07 0:00,Unknown,Queens,11426,413,1617,QN43,23,3,11,1/12/16,2/25/17
46989,VICENTE ,M,1/1/14 0:00,"Bull Dog, English",BROOKLYN,11222,,NULL,NULL,,,,1/12/16,7/2/20
46990,VITA ,F,1/1/99 0:00,Lhasa Apso,Queens,11375,406,71306,QN17,29,6,16,1/12/16,2/28/18
46991,UNKNOWN,M,6/1/15 0:00,Greyhound,Brooklyn,11231,306,77,BK33,39,7,25,1/12/16,1/12/17
46992,ROGER,M,7/1/14 0:00,Bernese Mountain Dog,Manhattan,10030,110,228,MN03,9,13,30,1/12/16,12/11/16
46993,ROSIE,F,6/1/11 0:00,Unknown,Manhattan,10025,107,183,MN12,6,10,31,1/12/16,2/25/17
46994,ROSIE ,F,4/1/15 0:00,Boston Terrier,Brooklyn,11232,307,145,BK32,38,7,25,1/12/16,1/12/17
46995,KENZIE,F,5/1/15 0:00,Goldendoodle,Manhattan,10025,107,181,MN12,7,10,30,1/12/16,1/12/17
46996,KNIGHTLEY,M,5/1/06 0:00,Bichon Frise,Brooklyn,11231,306,67,BK33,39,7,26,1/12/16,2/18/17
46997,KODI,M,10/1/05 0:00,Bichon Frise,Manhattan,10009,106,44,MN50,4,12,27,1/12/16,2/9/17
46998,KAIA,F,10/1/15 0:00,Goldendoodle,Manhattan,10003,102,57,MN23,2,12,27,1/12/16,1/12/17
46999,COWBOY ,M,1/1/00 0:00,"Collie, Border",QUEENS,11367,408,77904,QN37,24,6,15,1/12/16,10/30/16
47000,ASIA,F,3/1/14 0:00,"Shar-Pei, Chinese",Queens,11379,405,66501,QN21,30,6,15,1/12/16,1/23/17
47001,ATHENA,F,10/1/15 0:00,Belgian Malinois,Queens,11365,407,1215,QN62,20,6,11,1/12/16,1/12/17
47002,BAILEY,F,7/1/08 0:00,Yorkshire Terrier,Queens,11104,402,18102,QN31,26,14,12,1/12/16,2/22/17
47003,BABY,M,5/1/08 0:00,Chihuahua,Brooklyn,11206,301,489,BK78,34,7,18,1/12/16,11/20/18
47004,BABY ,F,1/1/02 0:00,Collie Crossbreed,Brooklyn,11235,315,608,BK17,48,8,23,1/12/16,1/30/17
47005,BARNEY ,M,1/1/04 0:00,Unknown,Manhattan,10002,103,6,MN28,1,7,26,1/12/16,12/30/16
47006,COCO,M,7/1/15 0:00,Maltese,Brooklyn,11213,308,353,BK61,35,9,20,1/12/16,1/12/18
47007,CODY ,M,1/1/01 0:00,Unknown,Brooklyn,11226,314,512,BK42,40,9,21,1/12/16,2/28/17
47008,COLA,M,3/1/14 0:00,Cocker Spaniel,Manhattan,10039,,NULL,NULL,,,,1/12/16,1/12/21
47009,WILLIAM,M,7/1/09 0:00,Unknown,Queens,11357,,NULL,NULL,,,,1/12/16,10/27/16
47010,FRED,M,1/1/07 0:00,Unknown,Bronx,10463,208,285,BX29,11,13,34,1/12/16,1/14/17
47011,FRANCOIS,M,10/1/12 0:00,"Bull Dog, French",Manhattan,10010,105,58,MN13,3,12,28,1/12/16,3/13/17
47012,FLUFFY,M,6/1/14 0:00,Shih Tzu,Manhattan,10009,103,3002,MN22,2,12,26,1/12/16,1/12/17
47013,FULTON,M,6/1/09 0:00,Unknown,Manhattan,10038,101,1501,MN25,1,10,26,1/12/16,1/21/17
47014,LOBO,M,10/1/04 0:00,Unknown,Manhattan,10019,104,139,MN15,3,10,27,1/12/16,12/16/16
47015,LITTLE ,F,2/1/07 0:00,Silky Terrier,Brooklyn,11215,306,157,BK37,39,9,20,1/12/16,3/7/17
47016,ANNIE ,F,9/1/14 0:00,"Schnauzer, Standard",Manhattan,10024,107,165,MN12,6,10,29,1/12/16,12/16/16
47017,APOLLO ,M,12/1/05 0:00,Beagle,Brooklyn,11221,304,423,BK78,34,7,18,1/12/16,2/28/17
47018,ETHEL,F,8/1/07 0:00,Shih Tzu,Brooklyn,11209,310,5202,BK31,43,11,22,1/12/16,4/21/17
47019,ANGEL ,F,10/1/06 0:00,Maltese,Staten Island,10306,503,14606,SI54,51,11,24,1/12/16,2/28/17
47020,ANGEL ,F,9/1/11 0:00,Shih Tzu,Queens,11358,407,1141,QN51,19,6,11,1/12/16,3/3/17
47021,ALFIE ,M,3/1/13 0:00,West High White Terrier,Manhattan,10021,108,124,MN31,5,12,28,1/12/16,2/7/17
47022,ALICE,F,7/1/11 0:00,Jack Russell Terrier,Staten Island,10306,502,11402,SI45,50,11,24,1/12/16,3/13/17
47023,ALEXUS,F,9/1/14 0:00,Maltese Crossbreed,Brooklyn,11236,318,970,BK50,46,8,19,1/12/16,1/15/17
47024,ACE,M,1/1/07 0:00,Unknown,Staten Island,10314,502,27302,SI05,50,11,24,1/12/16,1/3/17
47026,ABBEY ,F,1/1/06 0:00,Unknown,Queens,11106,,NULL,NULL,,,,1/12/16,12/31/16
47027,AALIYAH,F,6/1/11 0:00,Unknown,Manhattan,10027,109,211,MN09,7,13,30,1/12/16,2/3/18
47028,PEPPER,F,1/1/13 0:00,Unknown,Manhattan,10014,102,37,MN24,3,10,27,1/12/16,1/29/21
47029,STELLA,F,1/1/06 0:00,Unknown,Staten Island,10314,502,29103,SI05,50,11,24,1/12/16,2/20/17
47030,SPUNKY,F,6/1/01 0:00,Yorkshire Terrier,Manhattan,10028,108,14602,MN32,5,12,28,1/12/16,1/12/17
47031,PHOEBE,F,9/1/14 0:00,Pomeranian,Queens,11422,413,646,QN66,31,5,14,1/12/16,1/2/17
47032,PENNY,F,1/1/07 0:00,Boston Terrier,Manhattan,10014,102,79,MN23,3,10,27,1/12/16,2/24/17
47033,LUCKY ,F,11/1/14 0:00,Shiba Inu,Queens,11106,401,45,QN70,22,12,12,1/12/16,3/3/17
47034,LUCA,M,7/1/09 0:00,Pomeranian,Manhattan,10012,102,5502,MN23,1,12,26,1/12/16,3/9/17
47035,TANGO,M,12/1/11 0:00,Labradoodle,Manhattan,10025,109,199,MN09,7,10,31,1/12/16,3/11/17
47036,SUNNY ,M,1/1/02 0:00,Unknown,Manhattan,10001,104,93,MN13,3,10,27,1/12/16,12/30/16
47037,STELLA,F,12/1/14 0:00,Bassett Hound,Manhattan,10038,101,1502,MN25,1,10,26,1/12/16,1/12/17
47038,SUNKIST,M,1/1/06 0:00,Yorkshire Terrier,Brooklyn,11219,312,232,BK88,39,10,17,1/12/16,2/28/21
47039,SNOOPY,M,10/1/09 0:00,"Poodle, Toy",Staten Island,10309,503,198,SI01,51,11,24,1/12/16,2/22/17
47040,SNOWFLAKE,F,8/1/11 0:00,Siberian Husky,Staten Island,10306,502,122,SI45,50,11,24,1/12/16,2/13/17
47041,SKYLAR ,F,12/1/14 0:00,Great Pyrenees,Staten Island,10306,502,122,SI45,50,11,24,1/12/16,3/16/17
47042,SNACKS,F,5/1/12 0:00,Pomeranian,Brooklyn,11231,306,49,BK33,39,7,26,1/12/16,1/8/18
47043,SNICKERS,M,10/1/13 0:00,Golden Retriever,Manhattan,10023,107,153,MN14,6,10,27,1/12/16,12/21/16
47044,PAISLEY,F,12/1/05 0:00,Unknown,Manhattan,10010,106,60,MN50,4,12,27,1/12/16,2/15/17
47045,OZZY,M,3/1/12 0:00,Cairn Terrier,Brooklyn,11249,301,549,BK73,33,7,26,1/12/16,12/26/16
47046,SKY,F,1/1/12 0:00,Siberian Husky,Brooklyn,11220,307,76,BK32,38,7,20,1/12/16,3/2/17
47047,SPARKLE,F,4/1/09 0:00,Unknown,Manhattan,10002,103,202,MN28,2,7,26,1/12/16,3/8/17
47048,SONNY,M,7/1/11 0:00,Golden Retriever,Brooklyn,11204,311,268,BK28,44,10,22,1/12/16,3/2/17
47049,SPIKE,M,12/1/07 0:00,Rottweiler,Brooklyn,11216,303,261,BK75,36,8,25,1/12/16,3/8/17
47050,BUSTA ,M,1/1/02 0:00,Shih Tzu,Staten Island,10306,502,12804,SI45,50,11,24,1/12/16,1/30/17
47051,BUTCH,M,10/1/08 0:00,Unknown,Manhattan,10023,107,159,MN14,6,10,29,1/12/16,1/26/17
47052,BUTTERCUP,F,2/1/14 0:00,Shih Tzu,Manhattan,10027,110,220,MN11,9,13,30,1/12/16,2/11/18
47053,CASIE,F,11/1/09 0:00,Labrador Retriever,Brooklyn,11232,307,101,BK32,38,7,25,1/12/16,3/12/18
47054,CASH,M,10/1/08 0:00,Cavalier King Charles Spaniel,Manhattan,10021,108,126,MN31,4,12,28,1/12/16,3/9/17
47055,CASH,M,2/1/14 0:00,Labrador Retriever,Staten Island,10308,503,14607,SI54,51,11,24,1/12/16,12/21/16
47056,CASEY ,M,1/1/03 0:00,"Schnauzer, Miniature",Manhattan,10065,108,118,MN31,4,12,28,1/12/16,2/28/17
47057,CAUCHY,M,11/1/11 0:00,Siberian Husky,Queens,11104,402,169,QN31,26,14,12,1/12/16,2/28/21
47058,GILLIE,F,7/1/09 0:00,Labrador Retriever Crossbreed,Manhattan,10010,106,60,MN50,4,12,27,1/12/16,3/10/19
47059,GIGI ,M,11/1/14 0:00,"Coonhound, Black and Tan",Manhattan,10028,108,14401,MN32,5,12,28,1/12/16,3/15/21
47060,GEORGIA,F,7/1/09 0:00,Unknown,Brooklyn,11232,307,101,BK32,38,7,20,1/12/16,2/26/17
47061,GEORGE ,M,1/1/06 0:00,German Shepherd Crossbreed,Bronx,10461,210,200,BX37,13,14,34,1/12/16,1/30/17
47062,GIBSON,M,2/1/13 0:00,Labrador Retriever,Manhattan,10014,102,75,MN23,3,10,27,1/12/16,1/12/21
47063,GRACIE,F,10/1/06 0:00,Australian Cattledog,Brooklyn,11223,311,424,BK29,47,11,17,1/12/16,2/28/18
47064,GRACE,F,2/1/07 0:00,"Dachshund, Long Haired",Manhattan,10024,107,169,MN12,6,10,29,1/12/16,3/1/17
47065,GIO ,M,7/1/15 0:00,Pug,Brooklyn,11220,310,22,BK32,38,10,23,1/12/16,1/12/17
47066,GIRLIE ,F,11/1/09 0:00,"Poodle, Toy",Manhattan,10023,107,153,MN14,6,10,27,1/12/16,3/3/17
47067,GIZMO,M,6/1/10 0:00,Shih Tzu,Brooklyn,11224,313,342,BK21,47,8,23,1/12/16,12/8/16
47068,GRACIE,F,8/1/10 0:00,Pit Bull,Queens,11377,402,187,QN31,26,14,12,1/12/16,2/25/17
47069,OLIVE,F,12/1/05 0:00,Yorkshire Terrier,Manhattan,10025,107,183,MN12,6,10,31,1/12/16,3/13/17
47070,OLIVER,M,7/1/08 0:00,Unknown,Staten Island,10308,503,14608,SI54,51,11,24,1/12/16,3/5/17
47071,OPUS,F,12/1/06 0:00,Golden Retriever,QUEENS,11374,406,703,QN18,29,6,15,1/12/16,1/21/17
47072,ONYX,M,1/1/11 0:00,Rottweiler,Queens,11418,409,12601,QN54,28,5,10,1/12/16,1/12/17
47073,OLIVE,F,10/1/14 0:00,Labrador Retriever Crossbreed,Manhattan,10025,107,189,MN12,7,13,30,1/13/16,3/10/18
47074,OREO,M,8/1/12 0:00,Boston Terrier,Brooklyn,11208,305,118201,BK83,37,7,18,1/13/16,1/11/17
47075,OSCAR,M,6/1/10 0:00,Unknown,Queens,11362,411,152901,QN45,23,3,11,1/13/16,3/8/17
47076,OTIS,M,5/1/12 0:00,Unknown,Manhattan,10007,101,13,MN25,1,10,26,1/13/16,3/8/17
47077,GRACIE ,F,6/1/11 0:00,Boston Terrier,Staten Island,10308,503,13203,SI54,51,11,24,1/13/16,3/5/17
47078,GRACIE,F,1/1/13 0:00,Labradoodle,Queens,11415,409,138,QN60,29,6,14,1/13/16,2/27/21
47079,CASPER ,M,12/1/11 0:00,Unknown,Queens,11415,409,775,QN60,29,6,15,1/13/16,1/13/17
47080,CASPER,M,1/1/11 0:00,Afghan Hound,Brooklyn,11207,305,1152,BK82,37,8,18,1/13/16,1/13/17
47081,CASPER,M,5/1/04 0:00,Border Terrier,Manhattan,10003,,NULL,NULL,,,,1/13/16,12/13/20
47082,CASSIUS ,M,5/1/10 0:00,Cane Corso,Queens,11385,405,545,QN20,34,7,12,1/13/16,1/1/17
47083,CARLOS,M,11/1/09 0:00,"Poodle, Miniature",Manhattan,10011,104,81,MN13,3,12,27,1/13/16,11/20/16
47084,CALLIE ,F,1/1/06 0:00,Havanese,Manhattan,10024,107,175,MN12,6,10,31,1/13/16,2/28/17
47085,BUTTON ,M,1/1/02 0:00,Shih Tzu,Brooklyn,11235,315,59402,BK17,48,9,19,1/13/16,2/28/17
47086,BUDDY,M,3/1/08 0:00,Unknown,Queens,11414,410,892,QN57,32,8,15,1/13/16,2/4/17
47087,BUSTER ,M,6/1/14 0:00,Harrier,Brooklyn,11221,304,421,BK78,34,7,18,1/13/16,1/15/17
47088,SOPHIE,F,7/1/08 0:00,Yorkshire Terrier,Staten Island,10308,503,13203,SI54,51,11,24,1/13/16,3/19/17
47089,SOPHIE,F,7/1/12 0:00,"Poodle, Miniature",Manhattan,10024,107,175,MN12,6,10,31,1/13/16,3/6/17
47090,SOPHIE,F,2/1/13 0:00,Pit Bull,Manhattan,10003,102,59,MN23,2,12,27,1/13/16,2/11/17
47091,SNOWFLAKE,M,12/1/12 0:00,Maltese,Bronx,10473,,NULL,NULL,,,,1/13/16,1/27/17
47092,SNOWY ,M,1/1/09 0:00,Maltese,Brooklyn,11220,307,102,BK34,38,7,20,1/13/16,1/13/17
47093,SNUGGLES,M,1/1/14 0:00,Bichon Frise,Bronx,10473,,NULL,NULL,,,,1/13/16,1/16/17
47094,SNUGGLES,M,2/1/09 0:00,"Poodle, Miniature",Brooklyn,11229,315,584,BK25,48,11,17,1/13/16,2/14/17
47095,SNOOPY,M,10/1/14 0:00,Maltese,Brooklyn,11221,304,395,BK78,34,7,18,1/13/16,1/13/17
47096,PENNY,F,7/1/14 0:00,Japanese Chin/Spaniel,Ridgewood,11385,405,583,QN20,30,6,15,1/13/16,1/30/17
47097,PEBBLES,F,12/1/14 0:00,Shih Tzu,Bronx,10452,204,189,BX26,8,15,29,1/13/16,1/13/17
47098,PEARL,F,1/1/06 0:00,"Poodle, Miniature",Staten Island,10314,501,151,SI07,50,11,24,1/13/16,4/8/16
47099,PICKLES,M,3/1/14 0:00,Siberian Husky,Staten Island,10305,502,70,SI36,50,11,23,1/13/16,1/13/17
47100,SPIRIT,F,1/1/07 0:00,Golden Retriever,Brooklyn,11204,311,432,BK29,44,10,17,1/13/16,1/22/17
47101,STELLA ,F,11/1/09 0:00,"Poodle, Miniature",Manhattan,10011,104,81,MN13,3,12,27,1/13/16,11/20/16
47102,PERCY ,M,5/1/13 0:00,Chihuahua,Queens,11378,405,525,QN30,30,6,15,1/13/16,2/26/17
47103,PEPSI,F,1/1/09 0:00,Pit Bull Mix,Staten Island,10306,503,138,SI25,50,11,24,1/13/16,3/10/21
47104,PETEY,M,12/1/10 0:00,Beagle,Manhattan,10028,108,136,MN32,5,12,28,1/13/16,12/13/16
47105,PETEY,M,9/1/10 0:00,Pointer,Queens,11385,405,579,QN19,30,6,15,1/13/16,10/16/16
47106,PENNY,F,8/1/14 0:00,Terrier mix,Brooklyn,11217,306,159,BK37,39,9,20,1/13/16,1/13/19
47107,ALEECIE ,F,2/1/09 0:00,Unknown,Manhattan,10014,102,79,MN23,3,10,27,1/13/16,10/12/16
47108,ABULI,M,11/1/14 0:00,Maltese,Queens,11109,402,1,QN31,26,12,12,1/13/16,1/13/17
47109,AMANDA,F,9/1/15 0:00,Dachshund,Manhattan,10075,108,142,MN40,4,12,28,1/13/16,1/13/17
47110,AMBER,F,6/1/11 0:00,Unknown,Queens,11101,402,19,QN31,26,12,12,1/13/16,1/13/17
47111,APPU ,M,6/1/15 0:00,Labrador Retriever,Staten Island,10314,501,251,SI28,50,11,24,1/13/16,1/13/17
47112,ARCHER,M,2/1/14 0:00,Labrador Retriever,Manhattan,10029,111,16002,MN33,4,12,29,1/13/16,9/21/16
47113,APHRODITE,F,10/1/12 0:00,Pit Bull,Brooklyn,11208,305,118202,BK83,37,7,18,1/13/16,1/13/17
47114,FIGARO,M,1/1/09 0:00,Cotton De Tulear,Manhattan,10023,107,161,MN12,6,10,29,1/13/16,3/11/17
47115,FLAX,M,9/1/11 0:00,Portuguese Water Dog,Manhattan,10012,102,5502,MN23,1,12,26,1/13/16,3/5/21
47116,FIONA,F,3/1/11 0:00,Cavalier King Charles Spaniel,Manhattan,10025,107,189,MN12,7,13,30,1/13/16,3/1/17
47117,LOLA,F,9/1/14 0:00,"Poodle, Toy",Manhattan,10014,102,37,MN24,3,10,27,1/13/16,1/29/17
47118,LOBO,M,1/1/14 0:00,Siberian Husky,Staten Island,10305,502,74,SI14,50,11,23,1/13/16,1/13/17
47119,LLAMA,F,11/1/10 0:00,Cotton De Tulear,Manhattan,10013,101,33,MN24,1,10,26,1/13/16,3/7/16
47120,GANDALF,M,2/1/08 0:00,Golden Retriever,Manhattan,10069,107,151,MN14,6,10,31,1/13/16,3/4/17
47121,FRANKY,M,1/1/10 0:00,Pit Bull Mix,Queens,11426,413,1621,QN43,23,3,11,1/13/16,1/22/17
47122,FRANKY,F,7/1/13 0:00,"Bull Dog, French",Queens,11103,401,155,QN70,22,12,12,1/13/16,11/17/16
47123,FRECKLES,M,6/1/10 0:00,Jack Russell Terrier,Queens,11361,411,1097,QN46,19,6,11,1/13/16,1/28/17
47124,CODY,M,1/1/07 0:00,Chihuahua,Bronx,10465,210,138,BX52,13,14,34,1/13/16,1/3/17
47125,COCONUT,F,1/1/06 0:00,West High White Terrier,Queens,11356,407,929,QN23,19,14,11,1/13/16,1/30/17
47126,CONTESSA ,F,2/1/14 0:00,Papillon,Manhattan,10009,106,44,MN50,4,12,27,1/13/16,3/13/20
47127,COOKIE,F,11/1/14 0:00,Golden Retriever,Manhattan,10022,106,98,MN19,4,12,28,1/13/16,1/13/17
47128,COOKIE ,F,3/1/12 0:00,Chihuahua,Staten Island,10306,502,11401,SI36,50,11,24,1/13/16,10/27/16
47129,BANJO,M,4/1/13 0:00,Redbone Coonhound,Manhattan,10016,106,70,MN20,2,12,28,1/13/16,1/13/17
47130,BAILEY,F,2/1/11 0:00,Cardigan Welsh Corgi,Staten Island,10314,501,251,SI28,50,11,24,1/13/16,1/13/19
