License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
November 27 2018,S137272,Oscar,Dog,Miniature Poodle,Australian Shepherd,98136
October 20 2018,835204,Madison,Dog,Havanese,,98112
November 12 2018,902070,Baron,Dog,Bernese Mountain Dog,,98109
November 16 2018,904200,Coco,Dog,American Pit Bull Terrier,,98118
December 14 2018,960540,Winston,Dog,Dachshund,,98117
November 20 2018,8003048,Willie Nelson,Dog,Golden Retriever,,98136
November 18 2018,831783,Leo,Dog,Chihuahua,Dachshund,98136
December 20 2018,S108772,Reggie,Dog,Entlebucher Mountain Dog,,98102
December 31 2018,S136666,Mister,Dog,Pug,French Bulldog,98102
November 07 2018,S135487,River,Dog,Tibetan Spaniel,Shetland Sheepdog,98144
October 28 2018,S137119,Angus,Dog,Golden Retriever,,98117
November 29 2018,S150112,Pippa,Dog,Pomeranian,Golden Retriever,98116
December 23 2018,S124109,Dilly,Dog,Chihuahua,Dachshund,98117
December 29 2018,900461,Chanel,Dog,Papillon,,98116
December 14 2018,8003840,Polly,Dog,Miniature Poodle,,98103
October 28 2018,8002259,Linus Pawling,Dog,Miniature Pinscher,Dachshund,98115
November 26 2018,834841,Daisy,Dog,American Pit Bull Terrier,,98133
October 26 2018,826390,Mia,Dog,Golden Retriever,,98115
October 26 2018,728471,Nellie,Dog,Border Collie,,98103
November 15 2018,829732,Sierra,Dog,Australian Cattle Dog,,98106
November 12 2018,8002679,Marley,Dog,Golden Retriever,,98125
November 19 2018,8002969,Angel,Dog,Chihuahua,Chihuahua,98116
December 23 2018,901692,Jazmine,Dog,Labrador Retriever,Border Collie,98103
November 23 2018,8003125,Hazel,Dog,German Shepherd,,98144
December 01 2018,S125321,Murphy,Dog,Pug,Beagle,98122
October 27 2018,S139160,Sasha,Dog,American Pit Bull Terrier,Labrador Retriever,98144
November 10 2018,S124727,Maddie,Dog,Golden Retriever,Labrador Retriever,98103
December 14 2018,960199,Kellee,Dog,Labrador Retriever,,98115
October 24 2018,S120871,Tum Tum,Dog,American Pit Bull Terrier,,98118
December 20 2018,8004010,Piper,Dog,Nova Scotia Duck Tolling Retriever,,98117
December 21 2018,8004021,Leila,Dog,Border Collie,Flat-Coated Retriever,98103
December 24 2018,8004117,Tulio,Dog,Golden Retriever,,98105
December 14 2018,S131524,Leela,Dog,Labrador Retriever,,98144
November 27 2018,S104885,Maya,Dog,Jack Russell Terrier,Cairn Terrier,98102
October 19 2018,21434,Jasper,Dog,American Pit Bull Terrier,Labrador Retriever,98136
October 19 2018,8002026,Leopold,Dog,Papillon,,98199
December 02 2018,8003439,Klaus,Dog,Labrador Retriever,,98136
September 17 2018,730620,Fredo,Dog,Chihuahua,,98136
November 20 2018,8003034,LUCY,Dog,Chihuahua,Shiba Inu,98116
November 27 2018,8003303,Kodiak,Dog,Alaskan Malamute,German Shepherd,98102
November 01 2018,835179,Stella,Dog,Labrador Retriever,Chesapeake Bay Retriever,98117
November 25 2018,904283,Gucci,Dog,Golden Retriever,Standard Poodle,98103
November 01 2018,831636,Monkey Girl,Dog,Labrador Retriever,American Pit Bull Terrier,98102
November 06 2018,903738,Winston,Dog,Airedale Terrier,,98101
November 24 2018,S137301,Lucy,Dog,Hound,Brittany,98107
December 01 2018,901943,Falcor,Dog,Dachshund,Spaniel,98117
November 24 2018,S122023,Nacho,Dog,Labrador Retriever,Chihuahua,98117
December 21 2018,960905,Faelan,Dog,Samoyed,,98146
December 15 2018,8003869,Katana,Dog,Boxer,,98108
November 16 2018,8002766,Sacha,Dog,Golden Retriever,,98199
October 23 2018,829392,Maggie,Dog,Brussels Griffon,,98106
November 19 2018,835237,Charlotte,Dog,Labrador Retriever,,98105
November 20 2018,835087,Mina,Dog,Beagle,,98103
December 30 2018,S107761,Lucilla,Dog,Retriever,,98106
November 29 2018,S150110,Doc,Dog,Yorkshire Terrier,,98116
November 12 2018,901879,Murdock,Dog,Beagle,Pug,98144
November 01 2018,S122613,Penelope,Dog,Chihuahua,,98115
November 15 2018,S146562,Cano,Dog,Labrador Retriever,,98115
December 17 2018,959971,Alfie,Dog,Labrador Retriever,Standard Poodle,98122
November 17 2018,8002826,Lexi,Dog,Chihuahua,Miniature Pinscher,98126
November 01 2018,8002372,Baxter,Dog,Retriever,,98105
November 20 2018,8003013,George,Dog,Maltese,,98106
December 10 2018,S125166,Mochi,Dog,Chihuahua,Pomeranian,98115
November 20 2018,8003040,Ripley,Dog,Golden Retriever,Australian Shepherd,98106
November 27 2018,835431,Everett,Dog,Golden Retriever,,98199
December 27 2018,S137961,Ozzy,Dog,Australian Shepherd,Labrador Retriever,98109
December 06 2018,S152262,Carmen,Dog,Chihuahua,,98107
December 21 2018,8004039,Sif,Dog,Beagle,Fox Terrier,98102
December 07 2018,960898,Fiona,Dog,Terrier,Chihuahua,98106
November 20 2018,902687,Oscar,Dog,Jack Russell Terrier,,98116
November 12 2018,961450,Moro,Dog,German Shepherd,,98103
October 26 2018,358952,Ace,Dog,Shepherd,Irish Wolfhound,98117
November 04 2018,8002444,Kodiak,Dog,Labrador Retriever,,98103
November 12 2018,S123467,Bosco,Dog,Basenji,,98122
December 31 2018,8004245,Bella,Dog,Labrador Retriever,Australian Shepherd,98133
October 27 2018,S146771,Kali,Dog,American Staffordshire Terrier,,98125
November 12 2018,8002670,Batsy,Dog,Chihuahua,,98146
December 09 2018,S124354,Darwin,Dog,Newfoundland,,98109
November 03 2018,835066,Sully,Dog,Akbash,,98106
November 27 2018,S123981,Nephthys,Dog,Standard Poodle,,98112
October 29 2018,8002302,Ozzy,Dog,Great Pyrenees,,98126
December 06 2018,8003568,Poca,Dog,Basenji,Whippet,98115
October 26 2018,S138074,Quinn,Dog,Shetland Sheepdog,,98115
December 09 2018,S139141,Magnus,Dog,French Bulldog,,98103
October 27 2018,831137,Maggie,Dog,Portuguese Water Dog,Labrador Retriever,98103
November 25 2018,S124640,Taz,Dog,Yorkshire Terrier,,98103
December 09 2018,964387,Marge,Dog,Chihuahua,Yorkshire Terrier,98103
December 22 2018,S133947,Hattie,Dog,Border Collie,,98112
October 24 2018,730624,Daisy,Dog,Chihuahua,Terrier,98115
November 30 2018,S118049,Baxter Bones,Dog,Jack Russell Terrier,,98116
December 14 2018,964435,Fido,Dog,Maltese,Miniature Poodle,98107
December 28 2018,S115156,Em,Dog,Pembroke Welsh Corgi,,98136
November 19 2018,835253,Ernie,Dog,Boston Terrier,Australian Shepherd,98115
December 24 2018,901457,Royal,Dog,Dachshund,,98122
November 24 2018,829696,Lilo,Dog,Labrador Retriever,,98117
December 27 2018,S138640,Ally,Dog,Chihuahua,,98122
November 20 2018,8003027,Hank,Dog,Chihuahua,Pomeranian,98106
December 22 2018,957320,Tolmie,Dog,Australian Shepherd,,98115
December 29 2018,8004202,Kaiku,Dog,Golden Retriever,,98115
October 20 2018,830460,Scout,Dog,Chihuahua,,98178
October 18 2018,8002015,Dargo,Dog,Boxer,Mastiff,98106
November 14 2018,903865,Hogan,Dog,Airedale Terrier,,98125
December 10 2018,S125076,Hamish,Dog,Miniature Poodle,Labrador Retriever,98103
November 12 2018,8002655,WERLWIND'S PSALMS (CALL NAME: BALOO),Dog,Bernese Mountain Dog,,98103
December 18 2018,8003955,Mija,Dog,Havanese,,98116
October 22 2018,S120910,Lucy,Dog,Border Collie,,98126
November 29 2018,S118046,Toby,Dog,Maltese,Shih Tzu,98136
December 07 2018,958028,Winston,Dog,Dachshund,,98115
December 20 2018,S125019,Fergus,Dog,Miniature Schnauzer,,98125
November 09 2018,8002593,Frankie,Dog,Boston Terrier,,98118
December 13 2018,8003809,Wilton,Dog,Jack Russell Terrier,Beagle,98116
December 18 2018,8003953,Lhasa,Dog,Lhasa Apso,,98126
November 29 2018,904669,Maya,Dog,American Pit Bull Terrier,,98125
December 13 2018,8003800,Coco,Dog,Great Dane,,98144
November 30 2018,S137045,Nana,Dog,Shih Tzu,,98178
December 19 2018,8003989,Otis,Dog,Chesapeake Bay Retriever,Labrador Retriever,98136
November 30 2018,S136379,Mochi,Dog,Pembroke Welsh Corgi,,98107
October 22 2018,S121295,Kiki,Dog,Standard Poodle,Labrador Retriever,98105
November 29 2018,8003361,Lola,Dog,Golden Retriever,Standard Poodle,98177
March 19 2018,S141622,Chicku,Dog,German Shepherd,,98112
December 18 2018,S117952,Maxx,Dog,Pit Bull Terrier,,98106
December 07 2018,957691,Oscar,Dog,Rhodesian Ridgeback,,98107
November 17 2018,8002821,Butch,Dog,Shiba Inu,,98126
November 20 2018,S152235,Mickey,Dog,Pomeranian,,98119
November 29 2018,S137019,Bodhi,Dog,Miniature Pinscher,Black-Mouth Cur,98199
December 11 2018,958296,Steve,Dog,Chihuahua,,98144
November 17 2018,S123104,Pepper,Dog,Coton de Tulear,,98112
November 09 2018,901459,Rusty,Dog,Nova Scotia Duck Tolling Retriever,,98107
November 27 2018,8003296,Lucy,Dog,Golden Retriever,Standard Poodle,98116
December 10 2018,S131540,Dakota,Dog,Labrador Retriever,Standard Poodle,98116
December 20 2018,S108470,Maggie,Dog,Labrador Retriever,Standard Poodle,98177
December 19 2018,8003996,Cas,Dog,Shepherd,,98106
November 17 2018,8002813,Juno,Dog,Rottweiler,,98117
December 10 2018,961478,Robin,Dog,Labrador Retriever,Australian Cattle Dog,98103
November 24 2018,8003159,Lucy,Dog,Terrier,Miniature Australian Shepherd,98119
October 24 2018,80061,Desmo,Dog,Rhodesian Ridgeback,,98199
November 03 2018,S136945,Snacks,Dog,Boxer,American Pit Bull Terrier,98144
November 10 2018,905491,Angel,Dog,West Highland White Terrier,,98115
October 27 2018,727534,Snuggles,Dog,English Bulldog,,98116
October 25 2018,8002208,Fukayna,Dog,Boxer,Golden Retriever,98118
December 23 2018,S138141,Tegan,Dog,Labrador Retriever,,98106
December 07 2018,8003575,Maia,Dog,German Shepherd,,98125
November 09 2018,S146549,Calhoun,Dog,American Pit Bull Terrier,,98126
December 18 2018,S116434,Skipper,Dog,Havanese,,98115
December 07 2018,S134026,Scout,Dog,Border Collie,Labrador Retriever,98119
December 23 2018,S125337,Sydney,Dog,Border Collie,Spaniel,98121
November 29 2018,S137020,Inky,Dog,Terrier,Japanese Chin,98199
December 03 2018,889776,Zeke,Dog,Border Collie,,98107
December 03 2018,8003479,Buster,Dog,Border Collie,Hound,98106
December 04 2018,S126824,Rosie,Dog,Bulldog,,98117
October 30 2018,S136966,Gremlie,Dog,Pomeranian,Papillon,98177
December 16 2018,957405,Gwen,Dog,Australian Shepherd,Brittany,98106
December 11 2018,S152271,Griffey,Dog,Golden Retriever,,98115
December 23 2018,8004095,Ritter,Dog,Standard Poodle,,98112
November 24 2018,833466,Judy,Dog,Chihuahua,,98117
November 01 2018,835333,Kiki,Dog,Boston Terrier,,98144
December 04 2018,904425,Bart,Dog,Greyhound,,98118
